품목별,2003,2004,2006,2007,2008,2009,2011,2012,2013,2014,2016,2017,2018,2019,2021
광업및제조업,646464308,757066791,876453195,913844227,1081268167,1086773442,1452743785,1469946973,1451965381,1444001324,1370284958,1468456498,1521125882,1494771123,1720361604
광업(05~08),,,,2117845,2518617,,,,,,3204564,3369343,3203020,3047608,3262565
"석탄,원유및천연가스광업",,,,422686,400457,511605,503854,548996,515382,420385,255999,360292,331651,260403,153625
무연탄(채굴),,,,295373,301886,316505,283575,303420,272872,245450,197085,216141,207286,159933,137393
원유(채굴한것),,,...,...,...,...,...,...,...,...,X,X,X,X,X
천연가스(채굴한것),,,...,...,...,...,...,...,...,...,X,X,X,X,X
금속광업,9714,13835,19534,31942,46096,40220,88256,...,102954,...,X,X,X,X,125782
철광(채굴및정광),,,,...,...,...,...,50819,73880,65738,X,X,X,X,87862
금·은및백금광업,,,,,,,,,,,X,X,X,X,X
연(납)광및아연광(채굴및정광),,,,...,...,...,...,...,...,...,X,X,X,X,X
기타비철금속광(채굴및정광),,,,,,,...,...,,,,,,,X
비금속광물광업;연료용제외,1788370,1862074,1861473,1651487,2059508,2290966,2214232,2158908,2400429,2453125,2885144,2855088,2713294,2620455,2889459
석회쇄석(채굴),,,,317209,385986,405139,499285,510335,476038,591906,591417,594636,541352,556550,595979
고령토(채굴),,,,3715,4084,3510,...,...,...,17657,8298,24990,21663,5700,6977
기타점토(채굴),,,,...,...,...,...,...,...,...,X,X,X,X,X
화강암원석(파쇄되지않은것),73171,80620,92014,64100,64907,87997,50916,64016,92929,100603,105902,95599,99570,158177,245490
석회석원석(파쇄되지않은것),10361,9619,12153,12981,14623,...,24220,24604,22864,26194,69038,42742,38623,44129,55643
건설용쇄석(석회쇄석제외),897732,974753,931074,827320,992564,1109331,1002174,972495,1178214,1109645,1371551,1377595,1470410,1366030,1312663
건설용천연모래,371881,333887,349145,247528,419461,443772,362878,335513,337030,346728,467033,452276,287434,234574,367928
천연자갈,22189,17357,31019,45401,26008,78084,86457,74815,73901,72023,69259,60321,60156,66966,128115
공업용천연모래,14633,23813,31286,64035,87263,91854,103861,92444,110996,94842,105447,97249,100502,104331,78027
납석(채굴),,,,16566,13398,11679,23500,23436,22046,28639,16889,21895,14481,14200,15458
천일염(채취한것),,,,,,,,,,,20501,21473,20063,22958,34386
규석(채굴),,,,20837,18576,7937,17953,17546,16094,11331,12594,24278,23802,17135,22076
장석(채굴),,,,7464,...,...,...,...,...,10903,X,X,X,X,X
기타비금속광물,8154,11298,9044,7392,5138,11307,17445,12521,16098,14829,X,20385,11226,13003,7387
광업지원서비스업,,,,...,...,...,...,...,...,...,X,X,X,X,X
기타광업지원서비스,,,,...,...,...,...,...,...,...,X,X,X,X,X
제조업(10~34),,,,,,,,,,,1367080394,1465087155,1517922862,1491723515,1717099039
식료품제조업,,,,39733242,46072445,51559644,60057499,63876583,65802784,67591544,73680845,76251120,77953427,81991225,98038104
쇠고기(도축),,,,306906,277808,283423,354968,266988,268975,359277,475805,463205,587184,581160,776944
돼지고기(도축),,,,1033190,961952,1221849,1348454,1199885,1201911,1336176,1377920,1480520,1473698,1526958,1880073
기타도축고기,3178,2919,...,...,...,,...,...,,,X,X,X,X,X
원피,,,,...,,...,...,...,...,...,X,X,X,X,X
육류도축고기부산물,,,,,,,,,,,114649,224814,143536,121711,180406
닭고기,694251,1127525,1273840,1350268,1866153,1958271,2050621,2152759,2282184,2332345,2526507,2589867,2580640,2616477,2939176
오리고기,,,,153535,134765,226854,271947,289147,252486,132980,232508,245367,311249,292541,407137
기타가금고기부산물,,,,,,,,,,,43928,27319,85514,41145,33096
"가금류소시지,통조림및병조림",,,,,,,...,,,8906,6864,6776,7868,8838,14787
가금류포장육,,,,228218,296667,565953,729178,774494,845408,934871,1252351,1274275,1541252,1394263,1804806
기타가금류가공품,,,,122442,138011,271671,661321,653172,600094,471184,425810,434695,542337,615027,670146
육지동물포장육,1023427,1386577,1493158,1502121,1713667,2000268,2548508,2211332,2712592,3557227,4161391,4510834,4550823,5000074,7362683
육지동물통조림및병조림,78493,85234,69206,65351,8656,...,12724,13724,14907,16987,10208,19216,38892,51342,97396
베이컨,15065,19841,33024,43500,19022,24027,64513,89851,108899,134793,130390,175427,65315,88495,232623
햄(가축),,,,406726,480188,535564,674766,608334,547574,616347,648162,720772,756168,819591,976813
소시지(축육),,,,196471,224889,272694,452788,552825,436440,467310,569501,546548,369801,385198,494580
기타육지동물소시지유사제품,,,,114106,124453,132499,114669,128666,156321,186862,289492,282416,305675,282038,546484
기타고기가공품,,488180,561431,346751,401801,709518,604963,618593,498907,641459,898269,1072246,1361988,1507149,1270397
어묵및유사가공품,391623,327125,301304,314743,374137,359087,430646,525767,464194,452830,659696,674986,595492,651641,803136
어육소시지및어묵햄,61615,60279,78047,83838,81205,104734,154143,175863,222109,185102,159316,233514,340997,383193,255916
조미오징어,,,,122413,99523,122465,208847,227216,195446,228238,294338,318456,299937,289967,327972
조미쥐치포,,,,16540,16365,26483,21894,25874,30944,19711,32969,34334,35175,32058,45487
기타조미조제식품및어류훈제품,,,,33463,44567,42115,64569,119126,81109,110845,86170,85130,73575,72072,48982
기타수산동물조리가공품,34507,38736,32578,53117,56836,87020,70605,50317,84254,87192,94958,102682,111227,130151,123538
참치통조림,131278,152031,211362,279493,260170,289823,362755,519134,490464,354655,501122,455366,458468,479884,700819
골뱅이통조림,56522,69327,56432,80520,43220,51439,44925,42881,55710,59724,53846,60794,53855,47941,75484
굴통조림,44867,37906,18014,15960,17805,19067,26561,11213,12641,18110,20013,18029,11545,19206,23545
꽁치통조림,15261,,,17118,18616,9152,15498,10774,14247,17875,14595,15657,16167,18548,20204
조개통조림,,,,...,,,,,,,,,,X,X
기타수산동물통조림,15158,54008,34674,5794,5494,6938,14471,17443,14285,22284,38525,37748,41083,36898,20945
명태건제품,91104,96119,95779,76303,86940,81765,118030,105983,109474,128329,168126,170954,165957,185283,179456
멸치건제품,74066,52961,113280,62605,80455,94606,127950,108505,122679,128062,97304,119282,132720,133660,132062
오징어류건제품,60736,63801,69894,39005,38200,49581,29376,35199,24412,23551,17609,15913,27249,35721,43843
어류의채(건조한것),30951,43221,39101,30326,45629,50073,53570,46732,42348,53137,67824,70021,64322,71404,69463
기타소건품,,,,9110,9618,21214,78059,75066,10857,11962,24347,16626,16029,22977,37298
기타자건품,,,,6315,4796,14493,19870,9775,25490,21742,24329,18451,21637,27357,9311
기타수산동물및부산물건제품,54250,56460,47781,9599,31424,6783,7585,3483,5727,7389,7701,8424,10647,8942,11678
멸치젓류,44122,30967,31212,14840,19893,14562,13273,17198,8068,8026,3324,6745,7100,6297,6322
명란젓및창란젓,,,,52250,52638,76618,76037,73219,76234,62026,67562,104784,107319,98340,130830
기타젓갈류,111809,122341,123092,101854,97986,113395,74833,109491,85806,75774,89191,108372,141450,140589,179978
어류염장품,90797,158417,193494,154094,182621,197116,173590,150870,145575,170165,174358,140224,149885,161370,196470
냉동참치,124833,154322,146065,199532,217387,184836,288586,293398,299462,260138,295108,282806,260063,277072,264756
냉동고등어,27439,37256,27226,30720,26775,38884,85489,84778,75454,83913,123515,120558,108534,125065,161387
동태,52020,41432,6417,21489,5064,3508,4390,7154,17309,17950,24737,47620,75333,62997,47090
기타어류및부산물의냉동품,123143,117328,140058,125182,143085,140307,130357,148471,139524,168876,166185,195527,218072,226363,309114
갑각류냉동품,35501,42454,39001,37571,24813,25803,46618,41507,47223,63617,75312,119023,79485,77853,82291
연체동물냉동품,166224,165432,135523,95094,94742,149576,206666,188290,139619,184149,234557,280678,298529,341394,352305
"어육(신선및냉동한것,등뼈제거)",,,,165610,193328,245397,319462,339592,313461,349012,500482,515386,524783,564634,678810
비식용어분,23370,26178,27528,14775,24724,33002,25927,26319,24031,23545,28531,20957,20960,21164,30385
기타수산동물가공품,,,,1312,6488,29697,21561,6469,27506,29600,41269,41609,39147,28856,24492
어류부산물(신선및냉동한것),28018,21842,59542,42071,53215,27424,16046,22216,20757,26961,27047,26377,28412,30016,44177
김,319433,362905,480152,353136,450728,474993,617879,688037,816029,857367,1260065,1465616,1503624,1555517,1743871
미역,115503,109223,97395,97958,94851,92078,144206,139665,125122,169434,160497,169858,158858,157777,155854
톳,,,,9183,16577,16965,33851,26178,24800,23157,40057,37818,30116,30420,17069
기타해조류가공품,98832,94460,96311,40442,54466,52812,69179,84413,53143,74809,72285,95630,126361,130003,201810
김치,619338,686425,769915,751665,796746,945522,1000320,1015319,1096299,1120614,1175109,1282919,1338935,1345997,1618674
단무지,66238,67423,87480,88593,132016,134617,187322,221950,259562,285725,262843,268203,302181,305799,350272
기타과실및채소절임식품,153709,94325,124334,98098,78106,97428,171542,187928,206785,207169,212078,263041,270877,285856,346652
오렌지원액,,,,...,...,...,21651,27794,11706,18385,8462,X,X,X,X
농축과실즙,,,,121977,78339,78927,88751,91761,93728,149701,155431,170285,187244,262259,327080
농축채소즙,,,,17654,40647,47349,77373,128025,137415,126761,149911,201482,182392,155165,255895
과실주스,,,,48562,44438,80159,79373,118944,210707,110065,137459,143470,107118,110141,140232
채소주스,9594,,,20767,34668,29552,62867,62884,42277,69488,58456,68370,62380,41121,40749
과실통조림,74711,68440,50115,53616,65415,49562,50052,68733,64048,51243,64090,48622,54376,49625,51642
잼및젤리통조림,155587,143831,90888,108532,104911,138650,132277,186218,156756,165319,146016,168488,197813,175788,181433
냉동과실,54286,31619,18729,15423,12220,21018,39841,46609,43178,54121,43013,36477,38063,34441,58499
기타과실가공품,17927,16975,31740,48779,19970,23533,54531,59071,68200,69883,112146,94824,103480,122283,129990
채소통조림,,11448,6896,10432,9778,13607,11187,12964,8392,7007,12015,15219,12041,22739,30081
건조채소,45775,84533,88911,101717,117060,78102,78591,77209,80092,70043,89966,122233,90780,89437,95735
기타채소가공품,81108,113172,156145,168939,204080,190235,223262,191278,239516,216935,347565,382426,431674,413560,523071
견과가공품,33849,41793,48495,55156,45137,47287,116285,134898,150207,186304,234740,277093,269340,278845,269693
식용지방(육지동물의것),60998,56609,58699,67677,98236,106361,64964,97091,94842,94369,68323,62747,65558,56502,66965
비식용지방(육지동물의것),30407,41117,45923,45607,72743,25347,54691,53317,,...,X,45892,39858,41587,92803
수산동물조유(원유),8217,9554,9866,...,...,...,8638,11437,17158,19563,X,20460,24881,48795,36663
