품목별,출하액 (백만원)
광업 및 제조업,1494771123
광 업(05~08),3047608
"석탄, 원유 및 천연가스 광업",260403
무연탄(채굴),159933
원유(채굴한 것),X
천연가스(채굴한 것),X
금속 광업,X
철광(채굴 및 정광),X
금·은 및 백금 광업,X
연(납)광 및 아연광(채굴 및 정광),X
비금속광물 광업; 연료용 제외,2620455
석회쇄석(채굴),556550
고령토(채굴),5700
기타 점토(채굴),X
화강암 원석(파쇄되지 않은 것),158177
석회석 원석(파쇄되지 않은 것),44129
건설용 쇄석(석회쇄석 제외),1366030
건설용 천연모래,234574
천연 자갈,66966
공업용 천연모래,104331
납석(채굴),14200
기타 화학 및 비료 원료용 광물(채굴),X
천일염(채취한 것),22958
규석(채굴),17135
장석(채굴),X
기타 비금속광물,13003
광업 지원 서비스업,X
기타 광업 지원 서비스,X
제 조 업(10~34),1491723515
식료품 제조업,81991225
쇠고기(도축),581160
돼지고기(도축),1526958
기타 도축고기,X
원피,X
육류 도축고기 부산물,121711
닭고기,2616477
오리고기,292541
기타 가금고기 부산물,41145
"가금류 소시지, 통조림 및 병조림",8838
가금류 포장육,1394263
기타 가금류 가공품,615027
육지동물 포장육,5000074
육지동물 통조림 및 병조림,51342
베이컨,88495
햄(가축),819591
소시지(축육),385198
기타 육지동물 소시지 유사제품,282038
기타 고기가공품,1507149
어묵 및 유사가공품,651641
어육 소시지 및 어묵햄,383193
조미오징어,289967
조미쥐치포,32058
기타 조미조제식품 및 어류훈제품,72072
기타 수산동물 조리가공품,130151
참치통조림,479884
골뱅이통조림,47941
굴 통조림,19206
꽁치통조림,18548
조개통조림,X
기타 수산동물 통조림,36898
명태 건제품,185283
멸치 건제품,133660
오징어류 건제품,35721
어류의 채(건조한 것),71404
기타 소건품,22977
기타 자건품,27357
기타 수산동물 및 부산물 건제품,8942
멸치젓류,6297
명란젓 및 창란젓,98340
기타 젓갈류,140589
어류 염장품,161370
냉동 참치,277072
냉동 고등어,125065
동태,62997
기타 어류 및 부산물의 냉동품,226363
갑각류 냉동품,77853
연체동물 냉동품,341394
"어육(신선 및 냉동한 것, 등뼈 제거)",564634
비식용 어분,21164
기타 수산동물 가공품,28856
어류 부산물(신선 및 냉동한 것),30016
김,1555517
미역,157777
톳,30420
기타 해조류 가공품,130003
김치,1345997
단무지,305799
기타 과실 및 채소 절임식품,285856
오렌지원액,X
농축 과실즙,262259
농축 채소즙,155165
과실주스,110141
채소주스,41121
과실 통조림,49625
잼 및 젤리 통조림,175788
냉동 과실,34441
기타 과실가공품,122283
채소 통조림,22739
건조 채소,89437
기타 채소가공품,413560
견과 가공품,278845
식용 지방(육지동물의 것),56502
비식용 지방(육지동물의 것),41587
수산동물 조유(원유),48795
동물성 지방 부산물,172199
참기름,173174
들기름,29799
옥수수 원유(압착한 것),14526
채종유(유채유),22793
기타 식물성 원유(압착한 것),39803
대두박,394226
기타 식물성 유박,X
콩기름(대두유),697238
옥수수기름,83896
올리브유,178093
마아가린,X
쇼트닝,99255
기타 식물성 정제유 및 가공유,248003
시유,2775128
연유,38839
조제분유(우유기저),333707
분유,152053
발효유,1568723
버터,35105
치즈,753251
기타 낙농제품,278103
아이스크림,1025003
빙과,266936
쌀(도정한 것),1996979
보리쌀(도정한 것),40503
