품목별,값1,값2,값3
1차 금속 제조업,134061955,138157880,135407612
ABS수지,3690188,3661799,3660810
ASIC 로직,1075947,1237486,1764699
BLU용 광학필름,1063683,1089674,992583
BPA(비스페놀A),876362,1173488,1011610
BR,1058862,1030520,1085110
"CD플레이어, 레코드플레이어 및 턴테이블",X,,
CMOS이미지센서,2359573,3001851,2998098
D D I,3332348,3238511,3507816
D RAM,66270122,87731226,60266604
DMB 송수신 기기,26997,23020,35464
DVR,174505,204755,128414
ECH(에피클로로히드린),X,X,X
EMC(에폭시몰딩컴파운드),208388,147804,236646
FPD TV,3924348,3987642,3760976
Flash 메모리 (모듈포함),19390115,13326641,12158353
GPS 시스템,145413,142996,188525
K-RESIN,X,X,X
Key Pad,420698,293043,208550
LCD용 백라이트 유니트(BLU),930645,1032272,816992
LCD용 유리,3332109,3141279,2873030
LCD용 컬러 필터,X,X,143647
LCD편광필름,4967687,5664063,4354258
LED 에피칩,X,X,X
LED 전등,1088499,1075717,1126566
LED(OLED),4108828,3345884,6063468
MDF(중밀도섬유판),696831,697540,393267
MP3 Player,X,X,X
OLED 패널,13230082,21492650,17600954
OLED용 유리,165611,260133,306113
PC 카메라,X,X,X
PCM(색순도집속장치),X,,
PDA(휴대용 정보단말기),137589,153427,129603
PDP,28719,11417,6655
PDP용 유리,X,12357,X
PDP필터,X,X,X
PETG수지,X,X,X
PR(포토레지스터),1223321,1239914,1376797
PS인쇄판,53797,63944,81124
PVC수지,2017112,2052073,1762290
PＣ강선,301578,342143,307231
RFID(전자테그),163910,153650,162062
RV자동차(다목적 승용차),41139415,38182436,38170105
S RAM,X,X,X
SAW Filter(표면탄성파 필터),439555,293311,295973
SBR,1072656,1000626,461550
SB라텍스,1231888,1216250,1818348
SSD(solid state drive),2074606,1983903,X
TV 및 음향기기용 목제캐비닛,3416,2980,2982
TV용 LCD,26229255,16868662,13562961
WiBro 단말기,X,X,
WiBro 중계기,31577,33140,20937
가공 및 정제염,114164,92219,84491
가공합판,496005,485968,451416
가구 제조업,7521523,7650959,7612955
가구용 철물,339423,352522,301747
가구용 플라스틱제품,185694,186058,180876
"가금류 소시지, 통조림 및 병조림",6776,7868,8838
가금류 포장육,1274275,1541252,1394263
가단주물,113449,120253,90764
가라기난,X,X,X
가발 및 유사제품,22644,18668,21486
가발제조용 원사,90122,81427,99023
가방 부착용 철물,22235,23214,21815
가소제,1055241,1169062,1063209
가스 난로,2591,1266,X
가스 용접기 및 절단기,148328,204693,76692
가스공급계기,158105,135254,108278
가스레인지,205299,202019,217944
가스및화학운반선,9620683,8136716,10532120
가스오븐레인지,214409,256936,572255
가스총,X,X,X
가위,28815,31551,20220
가정 및 상업용 저울,64056,61959,58212
가정용 가스 보일러,862252,674361,864955
가정용 가습기,17507,22118,7371
가정용 가죽제품,102696,100613,97777
가정용 고정식 조명장치,711968,739994,640601
가정용 금속제 주방가구,109085,84226,86442
가정용 기름 보일러,47889,31128,89457
가정용 도자기,114556,109748,90773
가정용 비전기식 조리 및 난방기기의 부품,161745,160402,153498
가정용 비전기식 휴대용 조리기기,49694,47672,51987
