품목별,출하금액(백만원)
광업및제조업,1720361604
광업(05~08),3262565
"석탄,원유및천연가스광업",153625
무연탄(채굴),137393
원유(채굴한것),X
천연가스(채굴한것),X
금속광업,125782
철광(채굴및정광),87862
금·은및백금광업,X
연(납)광및아연광(채굴및정광),X
기타비철금속광(채굴및정광),X
비금속광물광업;연료용제외,2889459
석회쇄석(채굴),595979
고령토(채굴),6977
기타점토(채굴),X
화강암원석(파쇄되지않은것),245490
석회석원석(파쇄되지않은것),55643
건설용쇄석(석회쇄석제외),1312663
건설용천연모래,367928
천연자갈,128115
공업용천연모래,78027
납석(채굴),15458
천일염(채취한것),34386
규석(채굴),22076
장석(채굴),X
기타비금속광물,7387
광업지원서비스업,X
기타광업지원서비스,X
제조업(10~34),1717099039
식료품제조업,98038104
쇠고기(도축),776944
돼지고기(도축),1880073
기타도축고기,X
원피,X
육류도축고기부산물,180406
닭고기,2939176
오리고기,407137
기타가금고기부산물,33096
"가금류소시지,통조림및병조림",14787
가금류포장육,1804806
기타가금류가공품,670146
육지동물포장육,7362683
육지동물통조림및병조림,97396
베이컨,232623
햄(가축),976813
소시지(축육),494580
기타육지동물소시지유사제품,546484
기타고기가공품,1270397
어묵및유사가공품,803136
어육소시지및어묵햄,255916
조미오징어,327972
조미쥐치포,45487
기타조미조제식품및어류훈제품,48982
기타수산동물조리가공품,123538
참치통조림,700819
골뱅이통조림,75484
굴통조림,23545
꽁치통조림,20204
조개통조림,X
기타수산동물통조림,20945
명태건제품,179456
멸치건제품,132062
오징어류건제품,43843
어류의채(건조한것),69463
기타소건품,37298
기타자건품,9311
기타수산동물및부산물건제품,11678
멸치젓류,6322
명란젓및창란젓,130830
기타젓갈류,179978
어류염장품,196470
냉동참치,264756
냉동고등어,161387
동태,47090
기타어류및부산물의냉동품,309114
갑각류냉동품,82291
연체동물냉동품,352305
"어육(신선및냉동한것,등뼈제거)",678810
비식용어분,30385
기타수산동물가공품,24492
어류부산물(신선및냉동한것),44177
김,1743871
미역,155854
톳,17069
기타해조류가공품,201810
김치,1618674
단무지,350272
기타과실및채소절임식품,346652
오렌지원액,X
농축과실즙,327080
농축채소즙,255895
과실주스,140232
채소주스,40749
과실통조림,51642
잼및젤리통조림,181433
냉동과실,58499
기타과실가공품,129990
채소통조림,30081
건조채소,95735
기타채소가공품,523071
견과가공품,269693
식용지방(육지동물의것),66965
비식용지방(육지동물의것),92803
수산동물조유(원유),36663
동물성지방부산물,208355
참기름,243987
들기름,43474
옥수수원유(압착한것),X
채종유(유채유),102360
기타식물성원유(압착한것),42618
대두박,284377
기타식물성유박,X
콩기름(대두유),961640
옥수수기름,270604
올리브유,12333
마아가린,X
쇼트닝,100971
기타식물성정제유및가공유,791490
시유,2751358
연유,74820
조제분유(우유기저),258334
분유,324227
발효유,1876129
버터,35263
치즈,869365
기타낙농제품,394086
아이스크림,1220107
빙과,207620
쌀(도정한것),1636149
보리쌀(도정한것),9871
기타도정곡물,111191
도정부산물,55685
밀가루,1346227
콩가루,7809
옥수수가루,104686
기타곡물가루,181960
소맥피,12929
제분부산물,43537
곡물혼합분말및반죽,1026541
선식류,197208
앙금류,125453
씨리얼식품,288189
기타곡물조제식품,197593
고구마전분,31221
옥수수전분,326885
소맥전분,X
기타전분제품,78593
포도당,59551
물엿,383248
과당,325966
기타당류,140310
떡(제조도매),557227
떡(제조소매),82237
식빵(제조도매),764750
도넛(제조도매),216743
피자(제조도매),23496
기타빵류(제조도매),1400869
케이크(제조도매),1275781
코코아분말,19888
초콜릿류,838860
캔디류,361533
껌,67856
미과,104430
스낵류,1465480
건과자류,676633
기타곡분과자,124207
원당,X
정제당,1569412
국수,381196
당면,73688
냉면,185015
기타유사국수,29681
라면,2592182
기타인스턴트면류,100857
기타화학조미료,172049
식초,151265
맛소금,X
고추가루,425241
후추가루,59928
혼합조미료,1473461
기타천연조미료,231527
마요네즈,248680
케찹,100557
카레,101378
기타혼합조제조미료,1592414
간장,363013
된장,199032
고추장,425420
춘장,56737
메주,11945
혼합장,61440
기타장류,74206
커피크리머,83303
효모,48756
가라기난,X
식품용색소,152870
기타식품첨가물,580933
김밥(제조도매),537391
도시락(제조도매),1148389
냉동만두,857848
기타냉동조리식품,2170712
레토르트식품,1697106
기타식사용조리식품(제조도매),1112889
원두커피,631285
인스턴트커피,413329
커피믹스,454587
녹차,156493
홍차,23604
"치커리차,보리차및옥수수차",231556
율무차,33114
유자차,137044
꿀차,29709
기타가공차,238489
조제수프,65668
이유식(우유기저제외),229483
음료베이스,493741
두부,641299
유부,65762
기타묵및유사제품,89724
백삼,X
홍삼,325332
인삼분말,37046
인삼즙,379528
인삼차,70249
인삼과자,262170
기타인삼기저식품,34207
건강원제품,175626
기타건강보조용액화식품,177241
스쿠알렌식품,X
효소식품,403226
정제어유가공식품,173376
알로에식품,103944
기타건강기능식품,2269324
계란및새알가공품,588491
기타식품,58587
배합사료(양우용),3612710
배합사료(양돈용),3215553
배합사료(양계용),2491134
배합사료(기타동물),951598
배합사료(양어용),289496
애완동물사료,720055
단미사료,211232
사료첨가제,431500
기타사료,103722
동물용조제식품,130752
음료제조업,12504509
탁주,338401
약주,74268
맥아,X
맥주,2178533
청주,58340
"포도주,샴페인",27972
복분자주,29124
기타발효주,33854
주정,491668
소주,1732916
위스키,131357
매실주,X
기타증류주및합성주,46791
얼음,104643
생수,894653
콜라,1020941
사이다,788395
기타탄산음료,641757
알카리성이온음료,87910
식물성섬유음료,139307
인삼음료,521865
과실음료,799930
채소음료,135588
커피음료,810522
두유,424380
기타비알콜성음료,971828
담배제조업,3516743
담배잎(재건조),X
담배,3041284
기타궐련,X
섬유제품제조업;의복제외,16667056
방적용면,X
순면사,445663
면혼방사,164204
방적용모,30299
순소모사,24636
혼방소모사,13689
순방모사,92594
혼방방모사,40162
재생섬유사,119710
순합성섬유사,90914
혼방합성섬유사,310022
재봉사,73121
편물사,79097
커버링사,131149
기타가공사,179960
견사및견방사,X
순면직물,360903
혼방면직물,219856
순소모직물,47453
혼방소모직물,37149
순방모직물,16490
혼방방모직물,20736
비스코스직물,17950
아세테이트직물,27425
순합성섬유직물,751521
혼방합성섬유직물,967771
순견직물,8654
혼방견직물,29572
마및기타식물성직물,X
파일직물,271344
유리섬유직물,105290
기타특수직물,195789
이불,532030
담요,4637
타월(직물),163756
침구용카바,87908
베개및유사제품,52411
기타침구관련제품,37019
자수제품및자수용재료,49279
커튼및유사제품,514119
텐트,101614
천막및덮개(직물),552790
기타캔버스제품,23621
직물포대,203100
낙하산,X
차량의자카바,1292691
청소용포(직물),183830
가정용품덮개,6175
기타직물제품,948622
견편조물,135180
면편조물,159206
인조섬유편조물,373286
기타편조물,65031
섬유사염색,124190
직물염색,942085
의복및직물제품의염색,106144
직물원단날염,257481
의복및직물제품의날염,30777
섬유호부처리,48382
섬유기타가공,16460
카페트,118696
마루덮개및유사제품,87758
끈및로프(식물성섬유),58801
끈(합성섬유),36373
로프(합성섬유),140457
어망,106398
기타망,138780
끈가공품,72687
세폭직물,234750
부직포,962128
펠트,219459
부직포제품,831245
타이어코드및타이어직물,409770
고무도포사,X
기타특수사,18865
비닐도포직물,106865
고무도포직물,46036
기타도포및적층직물,321618
워딩(솜)제품,332409
편조제품(의복및의복액세서리제외),X
레이스원단및망직물(편직된것),66764
직물제필터,246375
기타섬유제품,152148
"의복,의복액세서리및모피제품제조업",15725618
남자및소년용정장,536447
남자및소년용코트,6826
남자및소년용자켓및점퍼,1588539
남자및소년용바지,143115
여자및소녀용정장,1984595
여자및소녀용코트,110207
여자및소녀용자켓및점퍼,2939461
여자및소녀용치마,62135
여자및소녀용바지,104997
남자및소년용속옷,113414
남자및소년용내복및잠옷,10583
여자및소녀용속옷,114229
여자용보정의류,162309
여자및소녀용내복및잠옷,72243
한복,6147
남성용직물셔츠,427626
남성용니트셔츠(니트원단구입),64226
여성용직물블라우스및셔츠,916602
여성용니트블라우스및셔츠(니트원단구입),374830
학생용교복,194591
"사무,작업및위생용의복",1089581
운동복,2137585
남자용가죽의복,23891
여자용가죽의복,63274
유아용의복및부속품,786233
기타봉제의복,80769
천연모피의복,133836
기타천연모피제품,7556
남자용속옷(편직결합),3003
여자용속옷(편직결합),88816
유아용내의(편직결합),54027
남자용셔츠(편직결합),106941
여자용셔츠및블라우스(편직결합),137116
남자용스웨터(편직결합),54971
여자용스웨터(편직결합),159977
기타남성용편조외의(편직결합),X
기타여성용편조외의(편직결합),45308
스타킹,36536
양말,145504
장갑(편직결합),247199
기타편조제품,40990
모자,89668
섬유장갑,38472
가죽장갑,8753
넥타이,6009
스카프,33907
벨트(허리띠),24961
손수건,27886
기타의복악세서리,13654
의류부분품,102632
"가죽,가방및신발제조업",3663682
소가죽,747750
돼지가죽,X
면양또는산양(염소)의가죽,X
기타동물가죽,X
재생가죽,X
기타특수가공가죽,19340
천연모피(유연처리또는완성가공한것),X
인조모피,X
핸드백,552981
지갑,52521
서류가방,24450
여행용가방,16517
학생용가방,6940
등산용배낭,13860
기타가방,50491
케이스(가죽및섬유제),163290
산업용가죽제품,31894
가정용가죽제품,107103
남자용구두(단화포함),364199
여자용구두(단화포함),382837
아동용구두(단화포함),X
가죽장화,21961
고무장화,44387
프라스틱및고무제운동화,43891
기타플라스틱및고무제신발,24703
직물슬리퍼,X
플라스틱및고무슬리퍼,40387
가죽슬리퍼,X
운동화,332461
가죽등산화,177148
가죽샌달,31509
기타직물갑피제또는가죽갑피제신발,139362
스포츠화,17720
가죽제신발부분품,64857
플라스틱및고무제운동화부분품,76264
기타플라스틱및고무제신발부분품,40611
기타재료제의신발부분품,35729
목재및나무제품제조업;가구제외,6414031
소각재,67149
각재,612800
판재,109474
제재부산물,30011
마루용판재,215546
우드몰딩,90058
목모와목분,31928
칩상또는삭편상의목재,279295
기타표면가공목재,63849
표면처리및방부처리목재,339942
단판,20063
일반합판,288957
가공합판,541169
파티클보드(PB),257223
MDF(중밀도섬유판),566785
강화마루,100384
재생목재,128230
목제의창문및창문틀,211173
목제의문및문틀,587521
목제패널,281434
목제의건물부착물,152340
목제깔판류및기타적재용판,711121
목제통및관련부품,21770
목제의포장및운반용상자,487010
목제의케이블드럼,26616
목제도구및부품,12672
주방용또는식탁용목제품,34363
목제그림틀및사진틀,7068
기타장식용목제품,16826
장의용목관,20024
기타목제품,93112
콜크및콜크제품,X
대나무돗자리,X
기타조물제품,X
"펄프,종이및종이제품제조업",25426517
화학펄프,172705
기타펄프,X
신문용지,354782
백상지,1199980
중질지,471125
인쇄용박엽지,193789
아트지,1282608
정보용지,492693
지폐용지,X
수제지,23303
기타인쇄및필기용지,36350
크라프트지,263007
골판지원지,3133989
백판지,736844
기타판지,X
적층가공지(박지),709244
포장지,461541
접착지,184710
기타가공지,96080
위생용지,315344
기타위생용지,X
기타종이및판지,31490
골판지,1210324
골판지상자,5432838
기타골판지제관련제품,39026
종이포대,238702
종이가방,202027
판지상자및용기,878820
식품위생용종이상자,326299
식품용종이용기,384223
기타종이상자및용기(판지및골판지이외),517097
지관(판지및골판지이외),316473
전자복사기용지(소매용),64552
노트류,191314
컴퓨터용지,122979
앨범,56425
바인더,52440
사무용봉투,71875
장부류,X
기타문구용종이제품,94437
화장지,1318643
종이타월,863560
종이생리대,435833
종이기저귀,601989
기타위생용종이제품,19285
종이벽지,252487
직물벽지,139098
장판지,X
여과지,273373
종이라벨,720165
식품용종이제품(용기및상자제외),262350
기타종이및판지제품,83271
인쇄및기록매체복제업,529740
인쇄판,491967
오디오복제물,37773
"코크스,연탄및석유정제품제조업",110984157
석탄코크스,226829
콜타르(조상의것),X
연탄,75814
응집탄,X
휘발유,17659951
제트유,10066053
등유,3119169
경유,35238353
경질중유(벙커A유),X
중유(벙커B유),276903
벙커C유,8259498
나프타,15498136
솔벤트,1688107
윤활기유,7641110
프로판가스,1534617
부탄가스,1968153
윤활유(석유기저),3385065
그리스(석유기저),125802
재생윤활유및그리스,162157
파라핀,140209
아스팔트,2359578
재생유,883882
기타석유정제품,496794
화학물질및화학제품제조업;의약품제외,197059998
혼합부탄,271351
에틸렌,5007937
프로필렌,6284191
부타디엔,1552835
기타비환식탄화수소,518170
알킬벤젠,X
벤젠,6879793
톨루엔,931197
디니트로톨루엔(DNT),X
파라자일렌(P-X),12063841
올소자일렌,X
스티렌모노머(SM),3830004
자일렌(Xylene),1834945
기타환식탄화수소,24571
이염화에틸렌(EDC),571584
염화비닐모노머(VCM),915424
기타탄화수소유도체,1098974
숯,17889
기타검및나무화합물,113958
콜타르피치,136409
석탄화학물,206308
부탄올,120466
옥탄올(2-EH),379114
메탄올,7348
에틸알콜(공업용),131077
에틸렌글리콜(EG),927366
프로필렌글리콜(PG),X
폴리프로필렌글리콜(PPG),1826087
페놀,608948
기타알코올및관련유도체,194674
공업용지방산,120906
초산,383111
초산에틸,X
아크릴산,125075
무수마레인산,73568
무수프탈산(PA),245128
테레프탈산(TPA),3210706
메틸메타크릴레이트(MMA),510375
아크릴레이트,429477
기타카르복실산및그유도체,106266
메틸터셔리부틸에테르(MTBE),171071
아민,182115
아크릴로니트릴(AN),1172956
톨루엔디이소시아네이트(TDI),962762
메틸렌디페닐디이소시아네이트(MDI),1927682
멜라민,X
카프로락탐(CPLM),X
아세톤,476060
가소제,926987
ECH(에피클로로히드린),X
산화프로필렌(PO),X
초산비닐,X
아디핀산,X
BPA(비스페놀A),1633871
고순도이소프탈산,X
폴리테트라메틸렌에테르글리콜(PTMEG),305008
포르말린,88161
기타기초유기화합물,2003665
수소(Hydrogen),1452748
질소(Nitrogen),1584688
산소(Oxygen),689639
아세틸렌가스,44380
이산화탄소,271553
아르곤가스,288686
희소가스,X
기타산업용가스,1143960
구입한압축및액화가스의정제,115987
염소,237005
염산,89453
수산화나트륨(가성소다),894899
염소산나트륨,16985
기타가성소다,344897
소다회,X
기타소다공업제품,82105
카본블랙,834316
화이트카본,X
이산화규소,X
과산화수소,697032
황,247537
합성귀석,X
오산화인,12290
기타비금속화합물,79931
황산,376211
인산,103361
기타무기산,18937
황산알루미늄,85523
황산마그네슘,X
탄산칼슘,392300
규산소다,71100
시안화나트륨,X
수산화알루미늄,126792
탄산칼륨,X
기타칼륨염,X
기타금속무기화합물,513740
핵연료,X
폴리실리콘,341327
잉곳및웨이퍼(태양전지용),X
아연화,266722
산화티타늄,111237
산화철,86752
기타무기안료,116695
천연색소,X
유연제,59235
분산염료,236585
산성및매염염료,50279
직접염료,75944
반응성염료,169055
형광염료,38767
플라스틱착색제(마스터배치),645283
색소중간착색제,68296
기타합성염료,48770
레이크계안료,103018
색소안료,277898
SBR,1033158
BR,950615
SB라텍스,1807090
기타합성고무,1718967
고밀도폴리에틸렌(HDPE),4862231
저밀도폴리에틸렌(LDPE),4133413
폴리스티렌(PS),1807137
ABS수지,5081930
PVC수지,2142000
폴리프로필렌(PP),9292858
에폭시수지,2713753
실리콘수지,1197630
불포화폴리에스터수지,578328
선형폴리에스터수지,901163
아크릴수지(PMMA),513603
요소수지,X
멜라민수지,80895
페놀수지,295631
폴리우레탄,864419
엔지니어링플라스틱수지,5709156
석유수지,327527
PETG수지,X
셀룰로스에테르,X
K-RESIN,X
폴리에틸렌테레프탈레이트(PET),961706
기타합성수지,2435223
구입한수지의배합물,1766148
재생수지,1090884
질산,213224
암모니아,456645
요소,204515
황산암모늄,X
기타질소비료,75266
인산비료,X
복합비료,1060844
기타화학비료,12750
유기질비료,589689
기타비료,228627
가정용화학살균및살충제,449919
화학살충제(농업용),580745
화학살균제(농업용),467277
화학제초제(농업용),215086
