품목별,사업체수 (개),생산액 (백만원),출하금액 (백만원),완제품 연말재고액 (백만원)
광업 및 제조업,65846,916247124,913844227,28534899
광업(05~08),431,2115260,2117845,83477
" 석탄, 원유 및 천연가스 광업",11,425369,422686,32573
  무연탄(채굴),9,298056,295373,32573
  원유(채굴한 것),1,...,...,...
  천연가스(채굴한 것),1,...,...,...
 금속 광업,4,31596,31942,602
  철광(채굴 및 정광),2,...,...,...
  귀금속광물(채굴 및 정광),1,...,...,...
  연(납)광 및 아연광(채굴 및 정광),1,...,...,...
 비금속광물 광업;연료용 제외,415,1646565,1651487,50302
  석회쇄석(채굴),66,318539,317209,8503
  석고(채굴한 것),1,...,...,...
  고령토(채굴),3,3860,3715,584
  기타 점토(채굴),1,...,...,...
  화강암 원석(파쇄되지 않은 것),26,63221,64100,5674
  석회석 원석(파쇄되지 않은 것),9,12629,12981,456
  건설용 쇄석(석회쇄석 제외),211,822970,827320,22538
  건설용 천연모래,51,244816,247528,2627
  천연 자갈,10,46366,45401,1401
  공업용 천연모래,11,63544,64035,2791
  납석(채굴),4,17040,16566,3360
  기타 화학 및 비료 원료용 광물(채굴),2,...,...,...
  소금(채취한 것),6,5177,5137,53
  규석(채굴),7,21630,20837,1710
  장석(채굴),3,7497,7464,214
  기타 비금속광물,4,7499,7392,212
 광업 지원 서비스업,1,...,...,...
  기타 광업 지원 서비스,1,...,...,...
제조업(10~33),65415,914131864,911726382,28451422
 식료품 제조업,6055,39893395,39733242,1286505
  쇠고기(도축),34,306561,306906,8399
  돼지고기(도축),67,1033620,1033190,21608
  기타 도축고기,1,...,...,...
  닭고기,62,1349776,1350268,45123
  오리고기,20,154806,153535,4610
  원피,1,...,...,...
  도축고기 및 가금고기 부산물,19,40261,40583,1491
"  가금류 소지시, 통조림 및 병조림",4,99493,99870,3605
  가금류 포장육,67,229065,228218,4338
  기타 가금류 가공품,50,122898,122442,2050
  베이컨,12,43619,43500,528
  햄(가축),42,405754,406726,6897
  소시지(축육),26,199265,196471,4573
  기타 육지동물 소시지 유사제품,28,114568,114106,1665
  육지동물 통조림 및 병조림,9,62942,65351,3715
  육지동물 포장육,158,1514069,1502121,55333
  기타 고기가공품,108,347058,346751,8677
  어묵 및 유사가공품,60,313876,314743,7460
  어육 소시지 및 어묵햄,7,83808,83838,1009
  조미오징어,36,122978,122413,10450
  조미쥐치포,11,15593,16540,1842
  기타 조미조제식품 및 어류훈제품,26,33783,33463,1082
  기타 수산동물 조리가공품,27,53020,53117,4033
  참치통조림,6,282412,279493,25668
  골뱅이통조림,7,82706,80520,10068
  굴 통조림,7,14619,15960,3269
  꽁치통조림,6,17289,17118,3213
  조개통조림,2,...,...,...
