"품목분류별 사업체수，생산액，출하 및 연말재고액(10명이상)"

"C행정구역별","행정구역별","C품목별","품목별","시점","사업체수 (개)","생산액 (백만원)","출하금액 (백만원)","완제품 연말재고액 (백만원)"
'00,"전  국",'B,"광업",2009,432.0000,2837742.0000,2851966.0000,84285.0000
'00,"전  국",'B05," 석탄, 원유 및 천연가스 광업",2009,7.0000,502647.0000,511605.0000,14860.0000
'00,"전  국",'B05100101,"  무연탄(채굴)",2009,5.0000,307677.0000,316505.0000,14860.0000
'00,"전  국",'B05200101,"  원유(채굴한 것)",2009,1.0000,...,...,...
'00,"전  국",'B05200102,"  천연가스(채굴한 것)",2009,1.0000,...,...,...
'00,"전  국",'B06," 금속 광업",2009,4.0000,39897.0000,40220.0000,825.0000
'00,"전  국",'B06100100,"  철광(채굴 및 정광)",2009,2.0000,...,...,...
'00,"전  국",'B06291100,"  귀금속광물(채굴 및 정광)",2009,1.0000,...,...,...
'00,"전  국",'B06292100,"  연(납)광 및 아연광(채굴 및 정광)",2009,1.0000,...,...,...
'00,"전  국",'B07," 비금속광물 광업;연료용 제외",2009,420.0000,2286023.0000,2290966.0000,68600.0000
'00,"전  국",'B07111101,"  석회쇄석(채굴)",2009,60.0000,405466.0000,405139.0000,7625.0000
'00,"전  국",'B07112101,"  고령토(채굴)",2009,4.0000,3503.0000,3510.0000,813.0000
'00,"전  국",'B07112109,"  기타 점토(채굴)",2009,2.0000,...,...,...
'00,"전  국",'B07121101,"  화강암 원석(파쇄되지 않은 것)",2009,29.0000,87973.0000,87997.0000,3259.0000
'00,"전  국",'B07121102,"  석회석 원석(파쇄되지 않은 것)",2009,2.0000,...,...,...
'00,"전  국",'B07122100,"  건설용 쇄석(석회쇄석 제외)",2009,221.0000,1110101.0000,1109331.0000,34713.0000
'00,"전  국",'B07123101,"  건설용 천연모래",2009,51.0000,436362.0000,443772.0000,7087.0000
'00,"전  국",'B07123102,"  천연 자갈",2009,18.0000,78568.0000,78084.0000,2230.0000
'00,"전  국",'B07123200,"  공업용 천연모래",2009,10.0000,92468.0000,91854.0000,2924.0000
'00,"전  국",'B07210101,"  납석(채굴)",2009,3.0000,11125.0000,11679.0000,4201.0000
'00,"전  국",'B07220100,"  소금(채취한 것)",2009,10.0000,13118.0000,13065.0000,2388.0000
'00,"전  국",'B07290101,"  규석(채굴)",2009,5.0000,8569.0000,7937.0000,814.0000
'00,"전  국",'B07290102,"  장석(채굴)",2009,2.0000,...,...,...
'00,"전  국",'B07290109,"  기타 비금속광물",2009,3.0000,11439.0000,11307.0000,782.0000
'00,"전  국",'B08," 광업 지원 서비스업",2009,1.0000,...,...,...
'00,"전  국",'B08090100,"  기타 광업 지원 서비스",2009,1.0000,...,...,...
'00,"전  국",'C,"제조업",2009,61141.0000,1082165874.0000,1083921476.0000,33054265.0000
'00,"전  국",'C10," 식료품 제조업",2009,5831.0000,51653565.0000,51559644.0000,1478468.0000
'00,"전  국",'C10110101,"  쇠고기(도축)",2009,26.0000,284509.0000,283423.0000,7137.0000
'00,"전  국",'C10110102,"  돼지고기(도축)",2009,54.0000,1228573.0000,1221849.0000,33652.0000
'00,"전  국",'C10110201,"  닭고기",2009,37.0000,1954300.0000,1958271.0000,30044.0000
'00,"전  국",'C10110202,"  오리고기",2009,17.0000,223466.0000,226854.0000,7501.0000
'00,"전  국",'C10110901,"  원피",2009,1.0000,...,...,...
'00,"전  국",'C10110902,"  도축고기 및 가금고기 부산물",2009,12.0000,210492.0000,208767.0000,4053.0000
'00,"전  국",'C10121101,"  가금류 소지시, 통조림 및 병조림",2009,2.0000,...,...,...
'00,"전  국",'C10121102,"  가금류 포장육",2009,96.0000,565450.0000,565953.0000,14225.0000
'00,"전  국",'C10121109,"  기타 가금류 가공품",2009,68.0000,272561.0000,271671.0000,4387.0000
'00,"전  국",'C10129101,"  베이컨",2009,9.0000,24178.0000,24027.0000,934.0000
'00,"전  국",'C10129102,"  햄(가축)",2009,39.0000,531708.0000,535564.0000,24286.0000
'00,"전  국",'C10129103,"  소시지(축육)",2009,35.0000,273224.0000,272694.0000,6027.0000
'00,"전  국",'C10129104,"  기타 육지동물 소시지 유사제품",2009,32.0000,133048.0000,132499.0000,2832.0000
'00,"전  국",'C10129105,"  육지동물 통조림 및 병조림",2009,1.0000,...,...,...
'00,"전  국",'C10129106,"  육지동물 포장육",2009,151.0000,2092406.0000,2000268.0000,142820.0000
'00,"전  국",'C10129109,"  기타 고기가공품",2009,119.0000,709067.0000,709518.0000,16954.0000
'00,"전  국",'C10211101,"  어묵 및 유사가공품",2009,57.0000,359181.0000,359087.0000,5678.0000
'00,"전  국",'C10211102,"  어육 소시지 및 어묵햄",2009,8.0000,104582.0000,104734.0000,3080.0000
'00,"전  국",'C10211103,"  조미오징어",2009,36.0000,124577.0000,122465.0000,11594.0000
'00,"전  국",'C10211104,"  조미쥐치포",2009,15.0000,26895.0000,26483.0000,2258.0000
'00,"전  국",'C10211105,"  기타 조미조제식품 및 어류훈제품",2009,20.0000,42385.0000,42115.0000,1132.0000
'00,"전  국",'C10211109,"  기타 수산동물 조리가공품",2009,23.0000,84291.0000,87020.0000,5368.0000
'00,"전  국",'C10211201,"  참치통조림",2009,8.0000,297856.0000,289823.0000,25051.0000
'00,"전  국",'C10211202,"  골뱅이통조림",2009,6.0000,54126.0000,51439.0000,5033.0000
'00,"전  국",'C10211203,"  굴 통조림",2009,5.0000,21262.0000,19067.0000,3453.0000
'00,"전  국",'C10211204,"  꽁치통조림",2009,6.0000,10760.0000,9152.0000,2006.0000
'00,"전  국",'C10211209,"  기타 수산동물 통조림",2009,8.0000,4973.0000,6938.0000,1636.0000
'00,"전  국",'C10212101,"  명태 건제품",2009,47.0000,81158.0000,81765.0000,3575.0000
'00,"전  국",'C10212102,"  멸치 건제품",2009,39.0000,94956.0000,94606.0000,902.0000
'00,"전  국",'C10212103,"  오징어류 건제품",2009,42.0000,49353.0000,49581.0000,3981.0000
'00,"전  국",'C10212104,"  어류의 채(건조한 것)",2009,28.0000,49824.0000,50073.0000,1338.0000
'00,"전  국",'C10212105,"  기타 소건품",2009,12.0000,21205.0000,21214.0000,72.0000
'00,"전  국",'C10212106,"  기타 자건품",2009,7.0000,14329.0000,14493.0000,281.0000
'00,"전  국",'C10212109,"  기타 수산동물 및 부산물 건제품",2009,12.0000,6920.0000,6783.0000,558.0000
'00,"전  국",'C10212201,"  멸치젓류",2009,8.0000,13824.0000,14562.0000,2585.0000
'00,"전  국",'C10212202,"  명란젓 및 창란젓",2009,20.0000,77927.0000,76618.0000,3336.0000
'00,"전  국",'C10212203,"  기타 젓갈류",2009,38.0000,113208.0000,113395.0000,6855.0000
'00,"전  국",'C10212204,"  어류 염장품",2009,56.0000,191454.0000,197116.0000,15119.0000
'00,"전  국",'C10213101,"  냉동 참치",2009,7.0000,184316.0000,184836.0000,5773.0000
