"품목분류별 사업체수，생산액，출하 및 연말재고액(10명이상, 2012년)"

"C행정구역별","행정구역별","C품목별","품목별","시점","사업체수 (개)","생산액 (백만원)","출하금액 (백만원)","완제품 연말재고액 (백만원)"
'00,"전  국",'0,"광업 및 제조업",2012,64871.0000,1472656641.0000,1469946973.0000,48805058.0000
'00,"전  국",'B,"광업",2012,371.0000,2809915.0000,2797678.0000,101849.0000
'00,"전  국",'B05," 석탄, 원유 및 천연가스 광업",2012,7.0000,555622.0000,548996.0000,28946.0000
'00,"전  국",'B05100101,"  무연탄(채굴)",2012,5.0000,306231.0000,303420.0000,14053.0000
'00,"전  국",'B05200101,"  원유(채굴한 것)",2012,1.0000,...,...,...
'00,"전  국",'B05200102,"  천연가스(채굴한 것)",2012,1.0000,...,...,...
'00,"전  국",'B06," 금속 광업",2012,7.0000,...,...,...
'00,"전  국",'B06100100,"  철광(채굴 및 정광)",2012,4.0000,51423.0000,50819.0000,1762.0000
'00,"전  국",'B06291100,"  귀금속광물(채굴 및 정광)",2012,1.0000,...,...,...
'00,"전  국",'B06292100,"  연(납)광 및 아연광(채굴 및 정광)",2012,1.0000,...,...,...
'00,"전  국",'B06299100,"  기타 비철금속광(채굴 및 정광)",2012,1.0000,...,...,...
'00,"전  국",'B07," 비금속광물 광업;연료용 제외",2012,356.0000,2163109.0000,2158908.0000,68186.0000
'00,"전  국",'B07111101,"  석회쇄석(채굴)",2012,56.0000,510888.0000,510335.0000,9877.0000
'00,"전  국",'B07112101,"  고령토(채굴)",2012,2.0000,...,...,...
'00,"전  국",'B07112109,"  기타 점토(채굴)",2012,2.0000,...,...,...
'00,"전  국",'B07121101,"  화강암 원석(파쇄되지 않은 것)",2012,17.0000,63705.0000,64016.0000,1759.0000
'00,"전  국",'B07121102,"  석회석 원석(파쇄되지 않은 것)",2012,5.0000,24836.0000,24604.0000,1286.0000
'00,"전  국",'B07122100,"  건설용 쇄석(석회쇄석 제외)",2012,185.0000,976327.0000,972495.0000,32857.0000
