"행정구역별","품목별","항목","단위","2013 년",
"전  국","광업 및 제조업","사업체수[개]","개","65575",
"전  국","광업 및 제조업","생산액[백만원]","백만원","1454346738",
"전  국","광업 및 제조업","출하금액[백만원]","백만원","1451965381",
"전  국","광업 및 제조업","완제품 연말재고액[백만원]","백만원","49460778",
"전  국","광업","사업체수[개]","개","385",
"전  국","광업","생산액[백만원]","백만원","3034463",
"전  국","광업","출하금액[백만원]","백만원","3028319",
"전  국","광업","완제품 연말재고액[백만원]","백만원","107695",
"전  국","석탄, 원유 및 천연가스 광업","사업체수[개]","개","9",
"전  국","석탄, 원유 및 천연가스 광업","생산액[백만원]","백만원","523050",
"전  국","석탄, 원유 및 천연가스 광업","출하금액[백만원]","백만원","515382",
"전  국","석탄, 원유 및 천연가스 광업","완제품 연말재고액[백만원]","백만원","36614",
"전  국","무연탄(채굴)","사업체수[개]","개","7",
"전  국","무연탄(채굴)","생산액[백만원]","백만원","272013",
"전  국","무연탄(채굴)","출하금액[백만원]","백만원","272872",
"전  국","무연탄(채굴)","완제품 연말재고액[백만원]","백만원","13194",
"전  국","원유(채굴한 것)","사업체수[개]","개","1",
"전  국","원유(채굴한 것)","생산액[백만원]","백만원","...",
"전  국","원유(채굴한 것)","출하금액[백만원]","백만원","...",
"전  국","원유(채굴한 것)","완제품 연말재고액[백만원]","백만원","...",
"전  국","천연가스(채굴한 것)","사업체수[개]","개","1",
"전  국","천연가스(채굴한 것)","생산액[백만원]","백만원","...",
"전  국","천연가스(채굴한 것)","출하금액[백만원]","백만원","...",
"전  국","천연가스(채굴한 것)","완제품 연말재고액[백만원]","백만원","...",
"전  국","금속 광업","사업체수[개]","개","5",
"전  국","금속 광업","생산액[백만원]","백만원","102295",
"전  국","금속 광업","출하금액[백만원]","백만원","102954",
"전  국","금속 광업","완제품 연말재고액[백만원]","백만원","2074",
"전  국","철광(채굴 및 정광)","사업체수[개]","개","3",
"전  국","철광(채굴 및 정광)","생산액[백만원]","백만원","73338",
"전  국","철광(채굴 및 정광)","출하금액[백만원]","백만원","73880",
"전  국","철광(채굴 및 정광)","완제품 연말재고액[백만원]","백만원","1133",
"전  국","귀금속광물(채굴 및 정광)","사업체수[개]","개","1",
"전  국","귀금속광물(채굴 및 정광)","생산액[백만원]","백만원","...",
"전  국","귀금속광물(채굴 및 정광)","출하금액[백만원]","백만원","...",
"전  국","귀금속광물(채굴 및 정광)","완제품 연말재고액[백만원]","백만원","...",
"전  국","연(납)광 및 아연광(채굴 및 정광)","사업체수[개]","개","1",
"전  국","연(납)광 및 아연광(채굴 및 정광)","생산액[백만원]","백만원","...",
"전  국","연(납)광 및 아연광(채굴 및 정광)","출하금액[백만원]","백만원","...",
