행정구역별,품목별,항목,단위,2014 년
전  국,광업 및 제조업,사업체수[개],개,68422
전  국,광업 및 제조업,생산액[백만원],백만원,1445803265
전  국,광업 및 제조업,출하금액[백만원],백만원,1444001324
전  국,광업 및 제조업,완제품 연말재고액[백만원],백만원,48980762
전  국,광업,사업체수[개],개,380
전  국,광업,생산액[백만원],백만원,3000436
전  국,광업,출하금액[백만원],백만원,2986471
전  국,광업,완제품 연말재고액[백만원],백만원,102613
전  국,"석탄, 원유 및 천연가스 광업",사업체수[개],개,7
전  국,"석탄, 원유 및 천연가스 광업",생산액[백만원],백만원,423659
전  국,"석탄, 원유 및 천연가스 광업",출하금액[백만원],백만원,420385
전  국,"석탄, 원유 및 천연가스 광업",완제품 연말재고액[백만원],백만원,19069
전  국,무연탄(채굴),사업체수[개],개,5
전  국,무연탄(채굴),생산액[백만원],백만원,248724
전  국,무연탄(채굴),출하금액[백만원],백만원,245450
전  국,무연탄(채굴),완제품 연말재고액[백만원],백만원,19069
전  국,원유(채굴한 것),사업체수[개],개,1
전  국,원유(채굴한 것),생산액[백만원],백만원,...
전  국,원유(채굴한 것),출하금액[백만원],백만원,...
전  국,원유(채굴한 것),완제품 연말재고액[백만원],백만원,...
전  국,천연가스(채굴한 것),사업체수[개],개,1
전  국,천연가스(채굴한 것),생산액[백만원],백만원,...
전  국,천연가스(채굴한 것),출하금액[백만원],백만원,...
전  국,천연가스(채굴한 것),완제품 연말재고액[백만원],백만원,...
전  국,금속 광업,사업체수[개],개,5
전  국,금속 광업,생산액[백만원],백만원,...
전  국,금속 광업,출하금액[백만원],백만원,...
전  국,금속 광업,완제품 연말재고액[백만원],백만원,...
전  국,철광(채굴 및 정광),사업체수[개],개,3
전  국,철광(채굴 및 정광),생산액[백만원],백만원,67275
전  국,철광(채굴 및 정광),출하금액[백만원],백만원,65738
전  국,철광(채굴 및 정광),완제품 연말재고액[백만원],백만원,3675
전  국,귀금속광물(채굴 및 정광),사업체수[개],개,1
전  국,귀금속광물(채굴 및 정광),생산액[백만원],백만원,...
전  국,귀금속광물(채굴 및 정광),출하금액[백만원],백만원,...
전  국,귀금속광물(채굴 및 정광),완제품 연말재고액[백만원],백만원,...
전  국,연(납)광 및 아연광(채굴 및 정광),사업체수[개],개,1
전  국,연(납)광 및 아연광(채굴 및 정광),생산액[백만원],백만원,...
전  국,연(납)광 및 아연광(채굴 및 정광),출하금액[백만원],백만원,...
전  국,연(납)광 및 아연광(채굴 및 정광),완제품 연말재고액[백만원],백만원,...
전  국,비금속광물 광업;연료용 제외,사업체수[개],개,367
전  국,비금속광물 광업;연료용 제외,생산액[백만원],백만원,2462985
전  국,비금속광물 광업;연료용 제외,출하금액[백만원],백만원,2453125
전  국,비금속광물 광업;연료용 제외,완제품 연말재고액[백만원],백만원,79634
전  국,석회쇄석(채굴),사업체수[개],개,56
전  국,석회쇄석(채굴),생산액[백만원],백만원,593393
전  국,석회쇄석(채굴),출하금액[백만원],백만원,591906
전  국,석회쇄석(채굴),완제품 연말재고액[백만원],백만원,11714
전  국,고령토(채굴),사업체수[개],개,3
전  국,고령토(채굴),생산액[백만원],백만원,17645
전  국,고령토(채굴),출하금액[백만원],백만원,17657
