"산업분류","항목","단위","2020 년",
"광업 및 제조업","사업체수[개]","개","70081",
"광업 및 제조업","종사자수[명]","명","2896452",
"광업 및 제조업","급여총액[백만원]","백만원","138271648",
"광업 및 제조업","출하액[백만원]","백만원","1501835094",
"광업 및 제조업","주요생산비[백만원]","백만원","945960548",
"광업 및 제조업","부가가치[백만원]","백만원","554105185",
"광업 및 제조업","유형자산(연말)[백만원]","백만원","644350010",
"광업(05~08)","사업체수[개]","개","345",
"광업(05~08)","종사자수[명]","명","11111",
"광업(05~08)","급여총액[백만원]","백만원","486190",
"광업(05~08)","출하액[백만원]","백만원","3040648",
"광업(05~08)","주요생산비[백만원]","백만원","859772",
"광업(05~08)","부가가치[백만원]","백만원","2235414",
"광업(05~08)","유형자산(연말)[백만원]","백만원","2901885",
"석탄, 원유 및 천연가스 광업","사업체수[개]","개","10",
"석탄, 원유 및 천연가스 광업","종사자수[명]","명","2990",
"석탄, 원유 및 천연가스 광업","급여총액[백만원]","백만원","109320",
"석탄, 원유 및 천연가스 광업","출하액[백만원]","백만원","212656",
"석탄, 원유 및 천연가스 광업","주요생산비[백만원]","백만원","45301",
"석탄, 원유 및 천연가스 광업","부가가치[백만원]","백만원","216200",
"석탄, 원유 및 천연가스 광업","유형자산(연말)[백만원]","백만원","640756",
"석탄 광업","사업체수[개]","개","9",
"석탄 광업","종사자수[명]","명","X",
"석탄 광업","급여총액[백만원]","백만원","X",
"석탄 광업","출하액[백만원]","백만원","X",
"석탄 광업","주요생산비[백만원]","백만원","X",
"석탄 광업","부가가치[백만원]","백만원","X",
"석탄 광업","유형자산(연말)[백만원]","백만원","X",
"석탄 광업","사업체수[개]","개","9",
"석탄 광업","종사자수[명]","명","X",
"석탄 광업","급여총액[백만원]","백만원","X",
"석탄 광업","출하액[백만원]","백만원","X",
"석탄 광업","주요생산비[백만원]","백만원","X",
"석탄 광업","부가가치[백만원]","백만원","X",
"석탄 광업","유형자산(연말)[백만원]","백만원","X",
"석탄 광업","사업체수[개]","개","9",
"석탄 광업","종사자수[명]","명","X",
"석탄 광업","급여총액[백만원]","백만원","X",
"석탄 광업","출하액[백만원]","백만원","X",
"석탄 광업","주요생산비[백만원]","백만원","X",
"석탄 광업","부가가치[백만원]","백만원","X",
"석탄 광업","유형자산(연말)[백만원]","백만원","X",
"원유 및 천연가스 채굴업","사업체수[개]","개","1",
"원유 및 천연가스 채굴업","종사자수[명]","명","X",
"원유 및 천연가스 채굴업","급여총액[백만원]","백만원","X",
"원유 및 천연가스 채굴업","출하액[백만원]","백만원","X",
"원유 및 천연가스 채굴업","주요생산비[백만원]","백만원","X",
"원유 및 천연가스 채굴업","부가가치[백만원]","백만원","X",
"원유 및 천연가스 채굴업","유형자산(연말)[백만원]","백만원","X",
"원유 및 천연가스 채굴업","사업체수[개]","개","1",
"원유 및 천연가스 채굴업","종사자수[명]","명","X",
"원유 및 천연가스 채굴업","급여총액[백만원]","백만원","X",
"원유 및 천연가스 채굴업","출하액[백만원]","백만원","X",
"원유 및 천연가스 채굴업","주요생산비[백만원]","백만원","X",
"원유 및 천연가스 채굴업","부가가치[백만원]","백만원","X",
"원유 및 천연가스 채굴업","유형자산(연말)[백만원]","백만원","X",
"원유 및 천연가스 채굴업","사업체수[개]","개","1",
"원유 및 천연가스 채굴업","종사자수[명]","명","X",
"원유 및 천연가스 채굴업","급여총액[백만원]","백만원","X",
"원유 및 천연가스 채굴업","출하액[백만원]","백만원","X",
"원유 및 천연가스 채굴업","주요생산비[백만원]","백만원","X",
"원유 및 천연가스 채굴업","부가가치[백만원]","백만원","X",
"원유 및 천연가스 채굴업","유형자산(연말)[백만원]","백만원","X",
"금속 광업","사업체수[개]","개","5",
"금속 광업","종사자수[명]","명","X",
"금속 광업","급여총액[백만원]","백만원","X",
"금속 광업","출하액[백만원]","백만원","X",
"금속 광업","주요생산비[백만원]","백만원","X",
"금속 광업","부가가치[백만원]","백만원","X",
"금속 광업","유형자산(연말)[백만원]","백만원","X",
"철 광업","사업체수[개]","개","3",
"철 광업","종사자수[명]","명","141",
"철 광업","급여총액[백만원]","백만원","7803",
"철 광업","출하액[백만원]","백만원","69131",
"철 광업","주요생산비[백만원]","백만원","9715",
"철 광업","부가가치[백만원]","백만원","60496",
"철 광업","유형자산(연말)[백만원]","백만원","60039",
"철 광업","사업체수[개]","개","3",
"철 광업","종사자수[명]","명","141",
"철 광업","급여총액[백만원]","백만원","7803",
"철 광업","출하액[백만원]","백만원","69131",
"철 광업","주요생산비[백만원]","백만원","9715",
"철 광업","부가가치[백만원]","백만원","60496",
"철 광업","유형자산(연말)[백만원]","백만원","60039",
"철 광업","사업체수[개]","개","3",
"철 광업","종사자수[명]","명","141",
"철 광업","급여총액[백만원]","백만원","7803",
"철 광업","출하액[백만원]","백만원","69131",
"철 광업","주요생산비[백만원]","백만원","9715",
"철 광업","부가가치[백만원]","백만원","60496",
"철 광업","유형자산(연말)[백만원]","백만원","60039",
"비철금속 광업","사업체수[개]","개","2",
"비철금속 광업","종사자수[명]","명","X",
"비철금속 광업","급여총액[백만원]","백만원","X",
"비철금속 광업","출하액[백만원]","백만원","X",
"비철금속 광업","주요생산비[백만원]","백만원","X",
"비철금속 광업","부가가치[백만원]","백만원","X",
"비철금속 광업","유형자산(연말)[백만원]","백만원","X",
"비철금속 광업","사업체수[개]","개","2",
"비철금속 광업","종사자수[명]","명","X",
"비철금속 광업","급여총액[백만원]","백만원","X",
"비철금속 광업","출하액[백만원]","백만원","X",
"비철금속 광업","주요생산비[백만원]","백만원","X",
"비철금속 광업","부가가치[백만원]","백만원","X",
"비철금속 광업","유형자산(연말)[백만원]","백만원","X",
"비철금속 광업","사업체수[개]","개","2",
"비철금속 광업","종사자수[명]","명","X",
"비철금속 광업","급여총액[백만원]","백만원","X",
"비철금속 광업","출하액[백만원]","백만원","X",
"비철금속 광업","주요생산비[백만원]","백만원","X",
"비철금속 광업","부가가치[백만원]","백만원","X",
"비철금속 광업","유형자산(연말)[백만원]","백만원","X",
"비금속광물 광업; 연료용 제외","사업체수[개]","개","329",
"비금속광물 광업; 연료용 제외","종사자수[명]","명","7809",
"비금속광물 광업; 연료용 제외","급여총액[백만원]","백만원","362829",
"비금속광물 광업; 연료용 제외","출하액[백만원]","백만원","2646467",
"비금속광물 광업; 연료용 제외","주요생산비[백만원]","백만원","797074",
"비금속광물 광업; 연료용 제외","부가가치[백만원]","백만원","1853772",
"비금속광물 광업; 연료용 제외","유형자산(연말)[백만원]","백만원","2109555",
"토사석 광업","사업체수[개]","개","310",
"토사석 광업","종사자수[명]","명","7340",
"토사석 광업","급여총액[백만원]","백만원","345297",
"토사석 광업","출하액[백만원]","백만원","2570067",
"토사석 광업","주요생산비[백만원]","백만원","773788",
"토사석 광업","부가가치[백만원]","백만원","1800935",
"토사석 광업","유형자산(연말)[백만원]","백만원","2019516",
"석회석 및 점토 광업","사업체수[개]","개","60",
"석회석 및 점토 광업","종사자수[명]","명","1645",
"석회석 및 점토 광업","급여총액[백만원]","백만원","75681",
