품목별,2003,,품목별,2004,,품목별,2006,,품목별,2007,,품목별,2008,,품목별,2009,,품목별,2011,,품목별,2012,,품목별,2013,,품목별 ,2012,,품목별,2016,,품목별,2017,,품목별,2018,,품목별,2019,,품목별,2021
품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별 ,출하금액 (백만원),,품목별,출하액 (백만원),,품목별,출하액 (백만원),,품목별,출하액 (백만원),,품목별,출하액 (백만원),,품목별,출하액 (백만원)
광업 및 제조업,646464308,,광업 및 제조업,757066791,,광업 및 제조업,876453195,,광업 및 제조업,913844227,,광업 및 제조업,1081268167,,광업,2851966,,광업 및 제조업,1452743785,,광업 및 제조업,1469946973,,광업 및 제조업,1451965381,,광업 및 제조업,1444001324,,광업 및 제조업,1370284958,,광업 및 제조업,1468456498,,광업 및 제조업,1521125882,,광업 및 제조업,1494771123,, 광업 및 제조업     , 1 720 361 604
광업(10~12),2154311,,광업(10~12),2252346,,광업(10~12),2489453,,광업(05~08),2117845,,광업(05~08),2518617,," 석탄, 원유 및 천연가스 광업",511605,,광업,2817922,,광업,2797678,,광업,3028319,,광업,2986471,,광 업(05~08),3204564,,광 업(05~08),3369343,,광 업(05~08),3203020,,광 업(05~08),3047608,,,
"석탄, 원유 및 우라늄 광업",356227,,"석탄, 원유 및 우라늄 광업",376437,,"석탄, 원유 및 우라늄 광업",608446,," 석탄, 원유 및 천연가스 광업",422686,," 석탄, 원유 및 천연가스 광업",400457,,  무연탄(채굴),316505,," 석탄, 원유 및 천연가스 광업",503854,," 석탄, 원유 및 천연가스 광업",548996,,"석탄, 원유 및 천연가스 광업",515382,,"석탄, 원유 및 천연가스 광업",420385,,"석탄, 원유 및 천연가스 광업",255999,,"석탄, 원유 및 천연가스 광업",360292,,"석탄, 원유 및 천연가스 광업",331651,,"석탄, 원유 및 천연가스 광업",260403,, 광업 (05 ~ 08),  3 262 565
무연탄,292639,,무연탄,304924,,무연탄,282385,,  무연탄(채굴),295373,,  무연탄(채굴),301886,,  원유(채굴한 것),...,,  무연탄(채굴),283575,,  무연탄(채굴),303420,,무연탄(채굴),272872,,무연탄(채굴),245450,,무연탄(채굴),197085,,무연탄(채굴),216141,,무연탄(채굴),207286,,무연탄(채굴),159933,,,
연탄,61544,,연탄,69113,,연탄,144523,,  원유(채굴한 것),...,,  원유(채굴한 것),...,,  천연가스(채굴한 것),...,,  원유(채굴한 것),...,,  원유(채굴한 것),...,,원유(채굴한 것),...,,원유(채굴한 것),...,,원유(채굴한 것),X,,원유(채굴한 것),X,,원유(채굴한 것),X,,원유(채굴한 것),X,," 석탄, 원유 및 천연가스 광업",   153 625
응집탄,...,,응집탄,...,,응집탄,...,,  천연가스(채굴한 것),...,,  천연가스(채굴한 것),...,, 금속 광업,40220,,  천연가스(채굴한 것),...,,  천연가스(채굴한 것),...,,천연가스(채굴한 것),...,,천연가스(채굴한 것),...,,천연가스(채굴한 것),X,,천연가스(채굴한 것),X,,천연가스(채굴한 것),X,,천연가스(채굴한 것),X,,,
금속 광업,9714,,금속 광업,13835,,원유(채굴한 것),...,, 금속 광업,31942,, 금속광업,46096,,  철광(채굴 및 정광),...,, 금속 광업,88256,, 금속 광업,...,,금속 광업,102954,,금속 광업,...,,금속 광업,X,,금속 광업,X,,금속 광업,X,,금속 광업,X,, 무연탄(채굴),   137 393
철광,...,,철광,12814,,천연가스(채굴한 것),...,,  철광(채굴 및 정광),...,,  철광(채굴 및 정광),...,,  귀금속광물(채굴 및 정광),...,,  철광(채굴 및 정광),...,,  철광(채굴 및 정광),50819,,철광(채굴 및 정광),73880,,철광(채굴 및 정광),65738,,철광(채굴 및 정광),X,,철광(채굴 및 정광),X,,철광(채굴 및 정광),X,,철광(채굴 및 정광),X,, 원유(채굴한 것), X
