품목별,2003,,품목별,2004,,품목별,2006,,품목별,2007,,품목별,2008,,품목별,2009,,품목별,2011,,품목별,2012,,품목별,2013,,품목별,2014,,품목별,2016,,품목별,2017,,품목별,2018,,품목별,2019,,품목별,2021
품목별,출하금액(백만원),,품목별,출하금액(백만원),,품목별,출하금액(백만원),,품목별,출하금액(백만원),,품목별,출하금액(백만원),,품목별,출하금액(백만원),,품목별,출하금액(백만원),,품목별,출하금액(백만원),,품목별,출하금액(백만원),,품목별,출하금액(백만원),,품목별,출하액(백만원),,품목별,출하액(백만원),,품목별,출하액(백만원),,품목별,출하액(백만원),,품목별,출하액(백만원)
TV튜너,136884,FALSE,TV튜너,227600,,TV튜너,237374,,TV용LCD,14717881,,TV용LCD,16220069,,TV용LCD,18575186,,WiBro중계기,...,,Wibro중계기,12973,,Wibro중계기,17867,,WiBro중계기,20473,,WiBro중계기,20611,,WiBro중계기,31577,,WiBro중계기,33140,,WiBro중계기,20937,,WiBro중계기,17040
TV송신기,10617,FALSE,TV송신기,1576,,TV수신카드,9367,,TV및음향기기용목재캐비닛,6886,,TV및음향기기용목재캐비닛,...,,TV및음향기기용목재캐비닛,...,,TV용LCD,31531402,,TV용LCD,31430490,,TV용LCD,29989043,,TV용LCD,27816667,,TV용LCD,22346088,,TV용LCD,26229255,,WiBro단말기,X,,WiBro단말기,X,,WiBro단말기,8645
TV및음향기기용목재캐비닛,44051,FALSE,TV및음향기기용목재캐비닛,43591,,TV송신기,4983,,SRAM,390720,,SRAM,356753,,SSD(solidstatedrive),6043,,TV및음향기기용목제캐비닛,...,,TV및음향기기용목재캐비닛,...,,TV및음향기기용목재캐비닛,...,,TV및음향기기용목제캐비닛,...,,TV및음향기기용목제캐비닛,X,,TV및음향기기용목제캐비닛,3416,,TV용LCD,16868662,,TV용LCD,13562961,,TV용LCD,17895116
TFT-LCD,12566999,FALSE,TFT-LCD,17156986,,TV및음향기기용목재캐비닛,15546,,SBR,552100,,SBR,1207529,,SRAM,428655,,SSD(solidstatedrive),...,,SSD(solidstatedrive),...,,SSD(solidstatedrive),...,,SSD(solidstatedrive),...,,SSD(solidstatedrive),2062869,,SSD(solidstatedrive),2074606,,TV및음향기기용목제캐비닛,2980,,TV및음향기기용목제캐비닛,2982,,TV및음향기기용목제캐비닛,4826
SRAM,1104037,FALSE,SRAM,1129586,,TFT-LCD,24572790,,SB라텍스,177457,,SB라텍스,196187,,SBR,1020248,,SRAM,193623,,SRAM,37503,,SRAM,25176,,SRAM,18299,,SRAM,19467,,SRAM,X,,SSD(solidstatedrive),1983903,,SSD(solidstatedrive),X,,SSD(solidstatedrive),3182939
SBR,386256,FALSE,SBR,478100,,SRAM,609339,,SAWFilter(표면탄성파필터),34797,,SAWFilter(표면탄성파필터),37428,,SB라텍스,166029,,SBR,1755906,,SBR,1933246,,SBR,760561,,SBR,686271,,SBR,793396,,SBR,1072656,,SRAM,X,,SRAM,X,,SRAM,X
SB라텍스,135681,FALSE,SB라텍스,172278,,SBR,...,,RV자동차(다목적용승용차),18289302,,RV자동차(다목적용승용차),19490996,,SAWFilter(표면탄성파필터),61673,,SB라텍스,601636,,SB라텍스,787472,,SB라텍스,1185343,,SB라텍스,1099319,,SB라텍스,696964,,SB라텍스,1231888,,SBR,1000626,,SBR,461550,,SBR,1033158
RV자동차(다목적용승용차),16137277,FALSE,RV자동차(다목적용승용차),11398253,,SB라텍스,186272,,RFID(전자테그),20848,,RFID(전자테그),103997,,RV자동차(다목적용승용차),9401862,,SAWFilter(표면탄성파필터),119723,,SAWFilter(표면탄성파필터),203396,,SAWFilter(표면탄성파필터),209395,,SAWFilter(표면탄성파필터),222421,,SAWFilter(표면탄성파필터),396738,,SAWFilter(표면탄성파필터),439555,,SB라텍스,1216250,,SB라텍스,1818348,,SB라텍스,1807090
PVC수지,1104190,FALSE,PVC수지,1344711,,RV자동차(다목적용승용차),17451647,,PVC수지,1201123,,PVC수지,1443354,,RFID(전자테그),232267,,RV자동차(다목적용승용차),23115838,,RV자동차(다목적용승용차),25715333,,RV자동차(다목적용승용차),29423541,,RV자동차(다목적승용차),30632501,,RV자동차(다목적승용차),39140487,,RV자동차(다목적승용차),41139415,,SAWFilter(표면탄성파필터),293311,,SAWFilter(표면탄성파필터),295973,,SAWFilter(표면탄성파필터),290724
PDPTV,934532,FALSE,PDPTV,1173253,,RFID(전자테그),26915,,PTMEG,...,,PTMEG,...,,PVC수지,1494900,,RFID(전자테그),89557,,RFID(전자테그),144016,,RFID(전자테그),156112,,RFID(전자테그),172858,,RFID(전자테그),188750,,RFID(전자테그),163910,,RV자동차(다목적승용차),38182436,,RV자동차(다목적승용차),38170105,,RV자동차(다목적승용차),42598234
PDA(휴대용정보단말기),256624,FALSE,PDA(휴대용정보단말기),468021,,PVC수지,1156989,,PS인쇄판,30051,,PS인쇄판,33011,,PTMEG,...,,PVC수지,1854916,,PVC수지,2460502,,PVC수지,2406764,,PVC수지,1889377,,PVC수지,1866758,,PVC수지,2017112,,RFID(전자테그),153650,,RFID(전자테그),162062,,RFID(전자테그),194732
PC카메라,5791,FALSE,PC카메라,3021,,PS인쇄판,26686,,PRP,...,,PRP,...,,PS인쇄판,38165,,PTMEG,...,,PTMEG,...,,PTMEG,...,,PTMEG,...,,PS인쇄판,73027,,PS인쇄판,53797,,PVC수지,2052073,,PVC수지,1762290,,PVC수지,2142000
ＰＣ강선(pc강연선포함),56273,TRUE,ＰＣ강선,61986,,PDPTV,2314134,,PR,...,,PR,93888,,PR,821849,,PS인쇄판,154529,,PS인쇄판,155351,,PS인쇄판,131105,,PS인쇄판,129784,,PR(포토레지스터),1448406,,PR(포토레지스터),1223321,,PS인쇄판,63944,,PS인쇄판,81124,,PS인쇄판,6180
MTBE,115243,FALSE,MTBE,128760,,PDA(휴대용정보단말기),529867,,PMP,29947,,PMP,42142,,PMP,78374,,PR(포토레지스터),1186882,,PR(포토레지스터),1300080,,PR(포토레지스터),811205,,PR(포토레지스터),788600,,PETG수지,X,,PETG수지,X,,PR(포토레지스터),1239914,,PR(포토레지스터),1376797,,PRP(PDPRearPanel),X
MP3Player,325317,FALSE,MP3Player,399863,,PC카메라,11176,,PDPTV,1570700,,PDPTV,1384325,,PDPTV,1432131,,PMP,36051,,PMP,40966,,PMP,35157,,PMP,...,,PDP필터,X,,PDP필터,X,,PETG수지,X,,PETG수지,X,,PR(포토레지스터),1415043
MDF(중밀도섬유판),217013,FALSE,MDF(중밀도섬유판),315125,,ＰＣ강선,64032,,PDP,2916927,,PDP,3187816,,PDP,3100359,,PETG수지,...,,PETG수지,...,,PETG수지,...,,PETG수지,...,,PDP용유리,52341,,PDP용유리,X,,PDP필터,X,,PDP필터,X,,PETG수지,X
LCDTV,679607,FALSE,LCDTV,710285,,MTBE,...,,PDA(휴대용정보단말기),19086,,PDA(휴대용정보단말기),68213,,PDA(휴대용정보단말기),117296,,PDPTV,...,,PDP,2699586,,PDP필터,...,,PDP필터,...,,PDP,23680,,PDP,28719,,PDP용유리,12357,,PDP용유리,X,,PDP필터,X
LCD용컬러필터,277466,FALSE,LCD용컬러필터,510520,,MP3Player,70882,,PCM(색순도집속장치),...,,PC카메라,...,,PＣ강선,180480,,PDP,2969281,,PDA(휴대용정보단말기),147021,,PDP,2164900,,PDP,1057365,,PDA(휴대용정보단말기),151860,,PDA(휴대용정보단말기),137589,,PDP,11417,,PDP,6655,,PDP용유리,X
LCD용유리,807887,FALSE,LCD용유리,1347225,,MDF(중밀도섬유판),320918,,PC카메라,5121,,ＰＣ강선,222060,,OLED,2385219,,PDA(휴대용정보단말기),181961,,PCM(색순도집속장치),...,,PDA(휴대용정보단말기),120750,,PDA(휴대용정보단말기),142655,,PC카메라,X,,PC카메라,X,,PDA(휴대용정보단말기),153427,,PDA(휴대용정보단말기),129603,,PDP,X
LCD용백라이트유니트,1805227,FALSE,LCD용백라이트유니트,2738582,,LCDTV,2244448,,PC강선,86368,,OLED,310688,,MTBE,...,,PCM(색순도집속장치),...,,PＣ강선,254819,,PCM(색순도집속장치),...,,PC카메라,...,,PＣ강선,211647,,PＣ강선,301578,,PC카메라,X,,PCM(색순도집속장치),X,,PDA(휴대용정보단말기),64297
I.T.O유리,155768,TRUE,,,,LCD용컬러필터,169034,,OLED,172391,,MTBE,...,,MP3Player,28746,,PC카메라,...,,OLED,6627766,,PC카메라,...,,PＣ강선,254944,,OLED패널,10187168,,OLED패널,13230082,,PＣ강선,342143,,PC카메라,X,,PCM(색순도집속장치),X
DRAM,7032526,FALSE,DRAM,12053606,,LCD용유리,3040414,,MTBE,...,,MP3Player,29723,,MDF(중밀도섬유판),511967,,PＣ강선,241148,,MTBE,540425,,PＣ강선,294696,,OLED,8145440,,OLED용유리,149347,,OLED용유리,165611,,OLED패널,21492650,,PＣ강선,307231,,PC카메라,X
DMT,...,FALSE,DMT,...,,LCD용백라이트유니트,5044113,,MP3Player,24582,,MDF(중밀도섬유판),473928,,LEDTV,88343,,OLED,4670872,,MP3Player,12480,,OLED,7608075,,MTBE,384063,,MDF(중밀도섬유판),599027,,MP3Player,X,,OLED용유리,260133,,OLED패널,17600954,,PＣ강선,292598
CD플레이어,16562,FALSE,CD플레이어,25085,,KeyPad,936423,,MDF(중밀도섬유판),486251,,LCDTV,2839673,,LED에피칩,89192,,MTBE,494097,,MDF(중밀도섬유판),549636,,MTBE,415169,,MP3Player,...,,LED전등,1022616,,MDF(중밀도섬유판),696831,,MP3Player,X,,OLED용유리,306113,,OLED패널,19376768
BR,...,FALSE,BR,...,,Flash메모리(모듈포함),8230815,,LCDTV,2828837,,LCD편광필름,3357051,,LED등,111250,,MP3Player,547206,,LED에피칩,35934,,MP3Player,6412,,MDF(중밀도섬유판),551076,,LED에피칩,X,,LED전등,1088499,,MDF(중밀도섬유판),697540,,MP3Player,X,,OLED용유리,492912
ASIC로직,683710,FALSE,ASIC로직,592792,,DRAM,11223175,,LCD편광필름,1266279,,LCD용컬러필터,757526,,LED(패키징),1402333,,MDF(중밀도섬유판),694756,,LED등,570605,,MDF(중밀도섬유판),440636,,LED전등,1056707,,LED(OLED),3429756,,LED에피칩,X,,LED전등,1075717,,MDF(중밀도섬유판),393267,,MDF(중밀도섬유판),566785
ABS수지,1584473,FALSE,ABS수지,1859640,,DMB송수신기기,24018,,LCD용컬러필터,588170,,LCD용유리,5278718,,LCDTV,3339750,,LEDTV,52979,,LED(패키징),3911325,,LED에피칩,38259,,LED에피칩,30346,,LCD편광필름,5444605,,LED(OLED),4108828,,LED에피칩,X,,LED전등,1126566,,LED전등,1000934
흡취지,...,TRUE,흑연및탄소제품(비전기용),60324,,CD플레이어,...,,LCD용유리,3655988,,LCD용백라이트유니트,4544188,,LCD편광필름,4066531,,LED에피칩,42193,,LCD편광필름,6047089,,LED등,801591,,LED(패키징),3626483,,LCD용컬러필터,X,,LCD편광필름,4967687,,LED(OLED),3345884,,LED에피칩,X,,LED에피칩,47900
흑연분,14029,TRUE,흄관및VR관,218980,,BR,...,,LCD용백라이트유니트,3710872,,KeyPad,863900,,LCD용컬러필터,633239,,LED등,405990,,LCD용컬러필터,719233,,LED(패키징),3537261,,LCD편광필름,5806422,,LCD용유리,3759660,,LCD용컬러필터,X,,LCD편광필름,5664063,,LED(OLED),6063468,,LED(OLED),8119179
흑연(콜로이드，반콜로이드),...,TRUE,,,,ASIC로직,548679,,KeyPad,803825,,K-RESIN,...,,LCD용유리,7789605,,LED(패키징),3055932,,LCD용유리,6352761,,LCD편광필름,6171762,,LCD용컬러필터,579059,,LCD용백라이트유니트(BLU),1376923,,LCD용유리,3332109,,LCD용컬러필터,X,,LCD편광필름,4354258,,LCD편광필름,4144869
흄관,178732,TRUE,,,,ABS수지,1595532,,K-RESIN,...,,ＩＴＯ코팅유리,275058,,LCD용백라이트유니트,4864461,,LCDTV,8405448,,LCD용백라이트유니트(BLU),2905851,,LCD용컬러필터,769310,,LCD용유리,4554355,,KeyPad,566127,,LCD용백라이트유니트(BLU),930645,,LCD용유리,3141279,,LCD용컬러필터,143647,,LCD용컬러필터,X
